Level,Date and Time,Source,Event ID,Task Category,Log,Computer
Error,10/6/2017 8:48:31 AM,EventCreate,1,None,Application,djkvdihost172.jakarta01.com,JAKARTA01\Guestisd30  
Error,10/6/2017 8:47:39 AM,EventCreate,1,None,Application,djkvdihost283.jakarta01.com,JAKARTA01\Amelia  
Error,10/6/2017 8:48:03 AM,EventCreate,1,None,Application,djkvdihost570.jakarta01.com,JAKARTA01\ahmad  
Error,10/6/2017 8:47:57 AM,EventCreate,1,None,Application,djkvdihost155.jakarta01.com,JAKARTA01\haryadi  
Error,10/6/2017 8:47:35 AM,Application Error,1000,(100),Application,djkvdihost283.jakarta01.com,"Faulting application name: EXCEL.EXE, version: 15.0.4919.1000, time stamp: 0x58c7ab0f
Faulting module name: EXCEL.EXE, version: 15.0.4919.1000, time stamp: 0x58c7ab0f
Exception code: 0xc0000005
Fault offset: 0x00072187
Faulting process id: 0x1220
Faulting application start time: 0x01d33e4103aa4b54
Faulting application path: C:\Program Files\Microsoft Office\Office15\EXCEL.EXE
Faulting module path: C:\Program Files\Microsoft Office\Office15\EXCEL.EXE
Report Id: 53322e63-aa38-11e7-b4de-0050569f630a"
Error,10/6/2017 8:47:25 AM,EventCreate,1,None,Application,djkvdihost564.jakarta01.com,JAKARTA01\karmenia  
Error,10/6/2017 8:46:52 AM,EventCreate,1,None,Application,djkvdihost021.jakarta01.com,JAKARTA01\elestari  
Error,10/6/2017 8:46:45 AM,EventCreate,1,None,Application,djkvdihost434.jakarta01.com,JAKARTA01\andre cahyono  
Error,10/6/2017 8:46:08 AM,EventCreate,1,None,Application,djkvdihost326.jakarta01.com,JAKARTA01\nurhayani  
Error,10/6/2017 8:46:02 AM,EventCreate,1,None,Application,djkvdihost337.jakarta01.com,JAKARTA01\MahendraR  
Error,10/6/2017 8:45:59 AM,EventCreate,1,None,Application,djkvdihost078.jakarta01.com,JAKARTA01\primaningtyas  
Error,10/6/2017 8:45:45 AM,EventCreate,1,None,Application,djkvdihost022.jakarta01.com,JAKARTA01\Sunaryo  
Error,10/6/2017 8:45:11 AM,WSH,1,None,Application,djkvdihost326.jakarta01.com,"CN=Nurhayani Purwitasari password will expire in 3 day(s) at 10/9/2017 7:23:45 AM

Press CTRL + ALT + DEL and select the ""Change a password"" option."
Error,10/6/2017 8:45:36 AM,EventCreate,1,None,Application,djkvdihost012.jakarta01.com,JAKARTA01\GUESTISD28  
Error,10/6/2017 8:45:05 AM,EventCreate,1,None,Application,djkvdihost862.jakarta01.com,JAKARTA01\kubo  
Error,10/6/2017 8:45:03 AM,Application Error,1000,(100),Application,djkvdihost862.jakarta01.com,"Faulting application name: OUTLOOK.EXE, version: 15.0.4919.1001, time stamp: 0x58d20482
Faulting module name: OUTLOOK.EXE, version: 15.0.4919.1001, time stamp: 0x58d20482
Exception code: 0xc0000005
Fault offset: 0x008924c4
Faulting process id: 0x1a70
Faulting application start time: 0x01d33e3eaa8ca28f
Faulting application path: C:\Program Files\Microsoft Office\Office15\OUTLOOK.EXE
Faulting module path: C:\Program Files\Microsoft Office\Office15\OUTLOOK.EXE
Report Id: f829f0f7-aa37-11e7-8568-0050569f6fbc"
Error,10/6/2017 8:44:54 AM,EventCreate,1,None,Application,djkvdihost007.jakarta01.com,JAKARTA01\meltsaury  
Error,10/6/2017 8:45:09 AM,WSH,1,None,Application,djkvdihost326.jakarta01.com,"CN=Nurhayani Purwitasari password will expire in 3 day(s) at 10/9/2017 7:23:45 AM

Press CTRL + ALT + DEL and select the ""Change a password"" option."
Error,10/6/2017 8:44:48 AM,EventCreate,1,None,Application,djkvdihost859.jakarta01.com,JAKARTA01\hirano  
Error,10/6/2017 8:44:08 AM,EventCreate,1,None,Application,djkvdihost137.jakarta01.com,JAKARTA01\guestISD50  
Error,10/6/2017 8:43:31 AM,EventCreate,1,None,Application,djkvdihost685.jakarta01.com,JAKARTA01\christianrs  
Error,10/6/2017 8:43:27 AM,Application Error,1000,(100),Application,djkvdihost685.jakarta01.com,"Faulting application name: OUTLOOK.EXE, version: 15.0.4919.1001, time stamp: 0x58d20482
Faulting module name: OUTLOOK.EXE, version: 15.0.4919.1001, time stamp: 0x58d20482
Exception code: 0xc0000005
Fault offset: 0x008924c4
Faulting process id: 0x1ef4
Faulting application start time: 0x01d33e3bc476c151
Faulting application path: C:\Program Files\Microsoft Office\Office15\OUTLOOK.EXE
Faulting module path: C:\Program Files\Microsoft Office\Office15\OUTLOOK.EXE
Report Id: bf499c09-aa37-11e7-9673-0050569f30ac"
Error,10/6/2017 8:43:57 AM,EventCreate,1,None,Application,djkvdihost899.jakarta01.com,JAKARTA01\adi prasetio  
Error,10/6/2017 8:43:29 AM,EventCreate,1,None,Application,djkvdihost007.jakarta01.com,JAKARTA01\meltsaury  
Error,10/6/2017 8:42:57 AM,EventCreate,1,None,Application,djkvdihost216.jakarta01.com,JAKARTA01\ali pasya  
Error,10/6/2017 8:42:33 AM,EventCreate,1,None,Application,djkvdihost017.jakarta01.com,JAKARTA01\fathur  
Error,10/6/2017 8:42:06 AM,EventCreate,1,None,Application,djkvdihost261.jakarta01.com,JAKARTA01\clarissa  
Error,10/6/2017 8:41:28 AM,EventCreate,1,None,Application,djkvdihost435.jakarta01.com,JAKARTA01\payogi  
Error,10/6/2017 8:41:26 AM,EventCreate,1,None,Application,djkvdihost724.jakarta01.com,JAKARTA01\GuestISD49  
Error,10/6/2017 8:41:25 AM,EventCreate,1,None,Application,djkvdihost727.jakarta01.com,JAKARTA01\dwihan  
Error,10/6/2017 8:41:08 AM,EventCreate,1,None,Application,djkvdihost059.jakarta01.com,JAKARTA01\eka  
Error,10/6/2017 8:40:55 AM,EventCreate,1,None,Application,djkvdihost822.jakarta01.com,JAKARTA01\guestISD44  
Error,10/6/2017 8:40:32 AM,EventCreate,1,None,Application,djkvdihost228.jakarta01.com,JAKARTA01\Kartina  
Error,10/6/2017 8:39:47 AM,EventCreate,1,None,Application,djkvdihost062.jakarta01.com,JAKARTA01\inna  
Error,10/6/2017 8:39:58 AM,EventCreate,1,None,Application,djkvdihost007.jakarta01.com,JAKARTA01\clarissa  
Error,10/6/2017 8:39:56 AM,EventCreate,1,None,Application,djkvdihost030.jakarta01.com,JAKARTA01\nurfadila  
Error,10/6/2017 8:39:43 AM,EventCreate,1,None,Application,djkvdihost222.jakarta01.com,JAKARTA01\diena  
Error,10/6/2017 8:39:42 AM,EventCreate,1,None,Application,djkvdihost224.jakarta01.com,JAKARTA01\Helena  
Error,10/6/2017 8:38:48 AM,EventCreate,1,None,Application,djkvdihost062.jakarta01.com,JAKARTA01\inna  
Error,10/6/2017 8:38:45 AM,EventCreate,1,None,Application,djkvdihost062.jakarta01.com,JAKARTA01\inna  
Error,10/6/2017 8:39:08 AM,EventCreate,1,None,Application,djkvdihost199.jakarta01.com,JAKARTA01\andriana  
Error,10/6/2017 8:38:51 AM,EventCreate,1,None,Application,djkvdihost441.jakarta01.com,JAKARTA01\teddy  
Error,10/6/2017 8:38:25 AM,EventCreate,1,None,Application,djkvdihost062.jakarta01.com,JAKARTA01\inna  
Error,10/6/2017 8:38:24 AM,EventCreate,1,None,Application,djkvdihost297.jakarta01.com,JAKARTA01\Rio  
Error,10/6/2017 8:38:06 AM,EventCreate,1,None,Application,djkvdihost250.jakarta01.com,JAKARTA01\aryani  
Error,10/6/2017 8:37:54 AM,EventCreate,1,None,Application,djkvdihost722.jakarta01.com,JAKARTA01\Marlina  
Error,10/6/2017 8:37:26 AM,EventCreate,1,None,Application,djkvdihost106.jakarta01.com,JAKARTA01\ferdiansyah  
Error,10/6/2017 8:37:04 AM,EventCreate,1,None,Application,djkvdihost070.jakarta01.com,JAKARTA01\dolly  
Error,10/6/2017 8:36:42 AM,EventCreate,1,None,Application,djkvdihost271.jakarta01.com,JAKARTA01\karmelita  
Error,10/6/2017 8:36:01 AM,EventCreate,1,None,Application,djkvdihost020.jakarta01.com,JAKARTA01\erik  
Error,10/6/2017 8:35:49 AM,EventCreate,1,None,Application,djkvdihost020.jakarta01.com,JAKARTA01\erik  
Error,10/6/2017 8:35:42 AM,EventCreate,1,None,Application,djkvdihost725.jakarta01.com,JAKARTA01\Bryant  
Error,10/6/2017 8:35:33 AM,EventCreate,1,None,Application,djkvdihost545.jakarta01.com,JAKARTA01\kunthi  
Error,10/6/2017 8:35:29 AM,EventCreate,1,None,Application,djkvdihost166.jakarta01.com,JAKARTA01\Ronald Hertanto  
Error,10/6/2017 8:35:01 AM,EventCreate,1,None,Application,djkvdihost008.jakarta01.com,JAKARTA01\enrikko  
Error,10/6/2017 8:34:58 AM,Application Error,1000,(100),Application,djkvdihost008.jakarta01.com,"Faulting application name: OUTLOOK.EXE, version: 15.0.4919.1001, time stamp: 0x58d20482
Faulting module name: OUTLOOK.EXE, version: 15.0.4919.1001, time stamp: 0x58d20482
Exception code: 0xc0000005
Fault offset: 0x008924c4
Faulting process id: 0x1438
Faulting application start time: 0x01d33e3fa8d42068
Faulting application path: C:\Program Files\Microsoft Office\Office15\OUTLOOK.EXE
Faulting module path: C:\Program Files\Microsoft Office\Office15\OUTLOOK.EXE
Report Id: 8fb44898-aa36-11e7-81af-0050569f4d38"
Error,10/6/2017 8:35:21 AM,EventCreate,1,None,Application,djkvdihost678.jakarta01.com,JAKARTA01\yudistira  
Error,10/6/2017 8:34:47 AM,EventCreate,1,None,Application,djkvdihost424.jakarta01.com,JAKARTA01\valery  
Error,10/6/2017 8:34:38 AM,Application Error,1000,(100),Application,djkvdihost424.jakarta01.com,"Faulting application name: spoolsv.exe, version: 6.1.7601.17777, time stamp: 0x4f35efc3
Faulting module name: msvcrt.dll, version: 7.0.7601.17744, time stamp: 0x4eeaf722
Exception code: 0xc0000005
Fault offset: 0x0000aa14
Faulting process id: 0x638
Faulting application start time: 0x01d33dc269535acd
Faulting application path: C:\Windows\System32\spoolsv.exe
Faulting module path: C:\Windows\system32\msvcrt.dll
Report Id: 83d37b71-aa36-11e7-87c3-0050569f20ab"
Error,10/6/2017 8:33:58 AM,EventCreate,1,None,Application,djkvdihost498.jakarta01.com,JAKARTA01\rara  
Error,10/6/2017 8:33:55 AM,Application Error,1000,(100),Application,djkvdihost498.jakarta01.com,"Faulting application name: lync.exe, version: 15.0.4919.1000, time stamp: 0x58c7ab1e
Faulting module name: mshtml.dll, version: 11.0.9600.18639, time stamp: 0x58d6c720
Exception code: 0xc0000005
Fault offset: 0x0013a2cc
Faulting process id: 0x11e8
Faulting application start time: 0x01d33e3d34867e4c
Faulting application path: C:\Program Files\Microsoft Office\Office15\lync.exe
Faulting module path: C:\Windows\System32\mshtml.dll
Report Id: 6a53e42f-aa36-11e7-8338-0050569f1363"
Error,10/6/2017 8:34:27 AM,EventCreate,1,None,Application,djkvdihost899.jakarta01.com,JAKARTA01\adi prasetio  
Error,10/6/2017 8:33:59 AM,EventCreate,1,None,Application,djkvdihost424.jakarta01.com,JAKARTA01\valery  
Error,10/6/2017 8:33:45 AM,EventCreate,1,None,Application,djkvdihost266.jakarta01.com,JAKARTA01\Festy  
Error,10/6/2017 8:33:26 AM,EventCreate,1,None,Application,djkvdihost359.jakarta01.com,JAKARTA01\zahra  
